level,puzzle_id,clues,logical_steps,hardest_technique,nakedSingle,hiddenSingle,lockedCandidates,nakedPair,hiddenPair,nakedTriple,skyscraper,xWing,swordfish
beginner,1,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,2,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,3,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,4,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,5,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,6,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,7,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,8,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,9,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,10,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,11,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,12,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,13,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,14,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,15,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,16,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,17,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,18,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,19,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,20,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,21,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,22,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,23,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,24,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,25,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,26,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,27,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,28,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,29,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,30,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,31,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,32,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,33,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,34,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,35,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,36,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,37,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,38,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,39,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,40,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,41,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,42,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,43,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,44,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,45,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,46,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,47,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,48,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,49,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,50,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,51,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,52,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,53,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,54,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,55,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,56,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,57,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,58,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,59,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,60,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,61,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,62,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,63,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,64,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,65,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,66,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,67,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,68,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,69,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,70,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,71,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,72,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,73,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,74,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,75,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,76,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,77,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,78,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,79,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,80,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,81,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,82,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,83,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,84,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,85,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,86,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,87,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,88,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,89,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,90,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,91,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,92,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,93,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,94,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,95,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,96,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,97,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,98,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,99,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,100,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,101,38,43,hiddenSingle,42,1,0,0,0,0,0,0,0
beginner,102,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,103,38,43,hiddenSingle,41,2,0,0,0,0,0,0,0
beginner,104,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,105,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,106,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,107,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,108,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,109,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,110,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,111,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,112,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,113,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,114,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,115,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,116,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,117,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,118,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,119,38,43,hiddenSingle,42,1,0,0,0,0,0,0,0
beginner,120,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,121,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,122,38,43,hiddenSingle,34,9,0,0,0,0,0,0,0
beginner,123,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,124,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,125,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,126,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,127,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,128,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,129,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,130,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,131,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,132,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,133,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,134,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,135,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,136,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,137,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,138,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,139,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,140,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,141,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,142,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,143,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,144,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,145,39,42,nakedSingle,42,0,0,0,0,0,0,0,0
beginner,146,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,147,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,148,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,149,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,150,39,42,hiddenSingle,41,1,0,0,0,0,0,0,0
beginner,151,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,152,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,153,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,154,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,155,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,156,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,157,38,43,hiddenSingle,41,2,0,0,0,0,0,0,0
beginner,158,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,159,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,160,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,161,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,162,38,43,hiddenSingle,40,3,0,0,0,0,0,0,0
beginner,163,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,164,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,165,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,166,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,167,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,168,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,169,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,170,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,171,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,172,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,173,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,174,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,175,38,43,hiddenSingle,40,3,0,0,0,0,0,0,0
beginner,176,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,177,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
beginner,178,38,43,nakedSingle,43,0,0,0,0,0,0,0,0
